base,TID,NAME,WIDTH,HEIGHT,OX,OY,SX,SY,EX,EY
tileinfo,78,WALL_BRICK_DARK_6_3,32,32,0,0,480,64,512,96
tileinfo,79,WALL_BRICK_DARK_6_4,32,32,0,0,512,64,544,96
tileinfo,80,WALL_BRICK_DARK_6_5,32,32,0,0,544,64,576,96
tileinfo,81,WALL_BRICK_DARK_6_6,32,32,0,0,576,64,608,96
tileinfo,82,WALL_BRICK_DARK_6_7,32,32,0,0,608,64,640,96
tileinfo,83,WALL_BRICK_DARK_6_8,32,32,0,0,640,64,672,96
tileinfo,84,WALL_BRICK_DARK_6_9,32,32,0,0,672,64,704,96
tileinfo,85,WALL_BRICK_DARK_6_10,32,32,0,0,704,64,736,96
tileinfo,86,WALL_BRICK_DARK_6_11,32,32,0,0,736,64,768,96
tileinfo,87,WALL_BRICK_DARK_6_12,32,32,0,0,768,64,800,96
tileinfo,88,WALL_BRICK_DARK_6_13,32,32,0,0,800,64,832,96
tileinfo,89,WALL_BRICK_DARK_6_14,32,32,0,0,832,64,864,96
tileinfo,90,WALL_BRICK_DARK_6_15,32,32,0,0,864,64,896,96
tileinfo,91,WALL_BRICK_DARK_6_TORCH,32,32,0,0,896,64,928,96
tileinfo,92,WALL_BRICK_DARK_6_TORCH_1,32,32,0,0,928,64,960,96
tileinfo,93,WALL_BRICK_DARK_6_TORCH_2,32,32,0,0,960,64,992,96
tileinfo,94,WALL_BRICK_DARK_6_TORCH_3,32,32,0,0,992,64,1024,96
tileinfo,95,WALL_BRICK,32,32,0,0,0,96,32,128
tileinfo,96,WALL_BRICK_1,32,32,0,0,32,96,64,128
tileinfo,97,WALL_BRICK_2,32,32,0,0,64,96,96,128
tileinfo,98,WALL_BRICK_3,32,32,0,0,96,96,128,128
tileinfo,99,WALL_BRICK_4,32,32,0,0,128,96,160,128
tileinfo,100,WALL_BRICK_5,32,32,0,0,160,96,192,128
tileinfo,101,WALL_BRICK_6,32,32,0,0,192,96,224,128
tileinfo,102,WALL_BRICK_7,32,32,0,0,224,96,256,128
tileinfo,103,WALL_BRICK_BLUE,32,32,0,0,256,96,288,128
tileinfo,104,WALL_BRICK_BLUE_1,32,32,0,0,288,96,320,128
tileinfo,105,WALL_BRICK_BLUE_2,32,32,0,0,320,96,352,128
tileinfo,106,WALL_BRICK_BLUE_3,32,32,0,0,352,96,384,128
tileinfo,107,WALL_BRICK_BLUE_4,32,32,0,0,384,96,416,128
tileinfo,108,WALL_BRICK_BLUE_5,32,32,0,0,416,96,448,128
tileinfo,109,WALL_BRICK_BLUE_6,32,32,0,0,448,96,480,128
tileinfo,110,WALL_BRICK_BLUE_7,32,32,0,0,480,96,512,128
tileinfo,111,WALL_BRICK_GREEN,32,32,0,0,512,96,544,128
tileinfo,112,WALL_BRICK_GREEN_1,32,32,0,0,544,96,576,128
tileinfo,113,WALL_BRICK_GREEN_2,32,32,0,0,576,96,608,128
tileinfo,114,WALL_BRICK_GREEN_3,32,32,0,0,608,96,640,128
tileinfo,115,WALL_BRICK_GREEN_4,32,32,0,0,640,96,672,128
tileinfo,116,WALL_BRICK_GREEN_5,32,32,0,0,672,96,704,128
tileinfo,117,WALL_BRICK_GREEN_6,32,32,0,0,704,96,736,128
tileinfo,118,WALL_BRICK_GREEN_7,32,32,0,0,736,96,768,128
tileinfo,119,WALL_BRICK_CYAN,32,32,0,0,768,96,800,128
tileinfo,120,WALL_BRICK_CYAN_1,32,32,0,0,800,96,832,128
tileinfo,121,WALL_BRICK_CYAN_2,32,32,0,0,832,96,864,128
tileinfo,122,WALL_BRICK_CYAN_3,32,32,0,0,864,96,896,128
tileinfo,123,WALL_BRICK_CYAN_4,32,32,0,0,896,96,928,128
tileinfo,124,WALL_BRICK_CYAN_5,32,32,0,0,928,96,960,128
tileinfo,125,WALL_BRICK_CYAN_6,32,32,0,0,960,96,992,128
tileinfo,126,WALL_BRICK_CYAN_7,32,32,0,0,992,96,1024,128
tileinfo,127,WALL_BRICK_RED,32,32,0,0,0,128,32,160
tileinfo,128,WALL_BRICK_RED_1,32,32,0,0,32,128,64,160
tileinfo,129,WALL_BRICK_RED_2,32,32,0,0,64,128,96,160
tileinfo,130,WALL_BRICK_RED_3,32,32,0,0,96,128,128,160
tileinfo,131,WALL_BRICK_RED_4,32,32,0,0,128,128,160,160
tileinfo,132,WALL_BRICK_RED_5,32,32,0,0,160,128,192,160
tileinfo,133,WALL_BRICK_RED_6,32,32,0,0,192,128,224,160
tileinfo,134,WALL_BRICK_RED_7,32,32,0,0,224,128,256,160
tileinfo,135,WALL_BRICK_MAGENTA,32,32,0,0,256,128,288,160
tileinfo,136,WALL_BRICK_MAGENTA_1,32,32,0,0,288,128,320,160
tileinfo,137,WALL_BRICK_MAGENTA_2,32,32,0,0,320,128,352,160
tileinfo,138,WALL_BRICK_MAGENTA_3,32,32,0,0,352,128,384,160
tileinfo,139,WALL_BRICK_MAGENTA_4,32,32,0,0,384,128,416,160
tileinfo,140,WALL_BRICK_MAGENTA_5,32,32,0,0,416,128,448,160
tileinfo,141,WALL_BRICK_MAGENTA_6,32,32,0,0,448,128,480,160
tileinfo,142,WALL_BRICK_MAGENTA_7,32,32,0,0,480,128,512,160
tileinfo,143,WALL_BRICK_LIGHTGRAY,32,32,0,0,512,128,544,160
tileinfo,144,WALL_BRICK_LIGHTGRAY_1,32,32,0,0,544,128,576,160
tileinfo,145,WALL_BRICK_LIGHTGRAY_2,32,32,0,0,576,128,608,160
tileinfo,146,WALL_BRICK_LIGHTGRAY_3,32,32,0,0,608,128,640,160
tileinfo,147,WALL_BRICK_LIGHTGRAY_4,32,32,0,0,640,128,672,160
tileinfo,148,WALL_BRICK_LIGHTGRAY_5,32,32,0,0,672,128,704,160
tileinfo,149,WALL_BRICK_LIGHTGRAY_6,32,32,0,0,704,128,736,160
tileinfo,150,WALL_BRICK_LIGHTGRAY_7,32,32,0,0,736,128,768,160
tileinfo,151,WALL_BRICK_DARKGRAY,32,32,0,0,768,128,800,160
tileinfo,152,WALL_BRICK_DARKGRAY_1,32,32,0,0,800,128,832,160
tileinfo,153,WALL_BRICK_DARKGRAY_2,32,32,0,0,832,128,864,160
tileinfo,154,WALL_BRICK_DARKGRAY_3,32,32,0,0,864,128,896,160
tileinfo,155,WALL_BRICK_DARKGRAY_4,32,32,0,0,896,128,928,160
tileinfo,156,WALL_BRICK_DARKGRAY_5,32,32,0,0,928,128,960,160
tileinfo,157,WALL_BRICK_DARKGRAY_6,32,32,0,0,960,128,992,160
tileinfo,158,WALL_BRICK_DARKGRAY_7,32,32,0,0,992,128,1024,160
tileinfo,159,WALL_BRICK_LIGHTBLUE,32,32,0,0,0,160,32,192
tileinfo,160,WALL_BRICK_LIGHTBLUE_1,32,32,0,0,32,160,64,192
tileinfo,161,WALL_BRICK_LIGHTBLUE_2,32,32,0,0,64,160,96,192
tileinfo,162,WALL_BRICK_LIGHTBLUE_3,32,32,0,0,96,160,128,192
tileinfo,163,WALL_BRICK_LIGHTBLUE_4,32,32,0,0,128,160,160,192
tileinfo,164,WALL_BRICK_LIGHTBLUE_5,32,32,0,0,160,160,192,192
tileinfo,165,WALL_BRICK_LIGHTBLUE_6,32,32,0,0,192,160,224,192
tileinfo,166,WALL_BRICK_LIGHTBLUE_7,32,32,0,0,224,160,256,192
tileinfo,167,WALL_BRICK_LIGHTGREEN,32,32,0,0,256,160,288,192
tileinfo,168,WALL_BRICK_LIGHTGREEN_1,32,32,0,0,288,160,320,192
tileinfo,169,WALL_BRICK_LIGHTGREEN_2,32,32,0,0,320,160,352,192
tileinfo,170,WALL_BRICK_LIGHTGREEN_3,32,32,0,0,352,160,384,192
tileinfo,171,WALL_BRICK_LIGHTGREEN_4,32,32,0,0,384,160,416,192
tileinfo,172,WALL_BRICK_LIGHTGREEN_5,32,32,0,0,416,160,448,192
tileinfo,173,WALL_BRICK_LIGHTGREEN_6,32,32,0,0,448,160,480,192
tileinfo,174,WALL_BRICK_LIGHTGREEN_7,32,32,0,0,480,160,512,192
tileinfo,175,WALL_BRICK_LIGHTCYAN,32,32,0,0,512,160,544,192
tileinfo,176,WALL_BRICK_LIGHTCYAN_1,32,32,0,0,544,160,576,192
tileinfo,177,WALL_BRICK_LIGHTCYAN_2,32,32,0,0,576,160,608,192
tileinfo,178,WALL_BRICK_LIGHTCYAN_3,32,32,0,0,608,160,640,192
tileinfo,179,WALL_BRICK_LIGHTCYAN_4,32,32,0,0,640,160,672,192
tileinfo,180,WALL_BRICK_LIGHTCYAN_5,32,32,0,0,672,160,704,192
tileinfo,181,WALL_BRICK_LIGHTCYAN_6,32,32,0,0,704,160,736,192
tileinfo,182,WALL_BRICK_LIGHTCYAN_7,32,32,0,0,736,160,768,192
tileinfo,183,WALL_BRICK_LIGHTRED,32,32,0,0,768,160,800,192
tileinfo,184,WALL_BRICK_LIGHTRED_1,32,32,0,0,800,160,832,192
tileinfo,185,WALL_BRICK_LIGHTRED_2,32,32,0,0,832,160,864,192
tileinfo,186,WALL_BRICK_LIGHTRED_3,32,32,0,0,864,160,896,192
tileinfo,187,WALL_BRICK_LIGHTRED_4,32,32,0,0,896,160,928,192
tileinfo,188,WALL_BRICK_LIGHTRED_5,32,32,0,0,928,160,960,192
tileinfo,189,WALL_BRICK_LIGHTRED_6,32,32,0,0,960,160,992,192
tileinfo,190,WALL_BRICK_LIGHTRED_7,32,32,0,0,992,160,1024,192
tileinfo,191,WALL_BRICK_LIGHTMAGENTA,32,32,0,0,0,192,32,224
tileinfo,192,WALL_BRICK_LIGHTMAGENTA_1,32,32,0,0,32,192,64,224
tileinfo,193,WALL_BRICK_LIGHTMAGENTA_2,32,32,0,0,64,192,96,224
tileinfo,194,WALL_BRICK_LIGHTMAGENTA_3,32,32,0,0,96,192,128,224
tileinfo,195,WALL_BRICK_LIGHTMAGENTA_4,32,32,0,0,128,192,160,224
tileinfo,196,WALL_BRICK_LIGHTMAGENTA_5,32,32,0,0,160,192,192,224
tileinfo,197,WALL_BRICK_LIGHTMAGENTA_6,32,32,0,0,192,192,224,224
tileinfo,198,WALL_BRICK_LIGHTMAGENTA_7,32,32,0,0,224,192,256,224
tileinfo,199,WALL_BRICK_YELLOW,32,32,0,0,256,192,288,224
tileinfo,200,WALL_BRICK_YELLOW_1,32,32,0,0,288,192,320,224
tileinfo,201,WALL_BRICK_YELLOW_2,32,32,0,0,320,192,352,224
tileinfo,202,WALL_BRICK_YELLOW_3,32,32,0,0,352,192,384,224
tileinfo,203,WALL_BRICK_YELLOW_4,32,32,0,0,384,192,416,224
tileinfo,204,WALL_BRICK_YELLOW_5,32,32,0,0,416,192,448,224
tileinfo,205,WALL_BRICK_YELLOW_6,32,32,0,0,448,192,480,224
tileinfo,206,WALL_BRICK_YELLOW_7,32,32,0,0,480,192,512,224
tileinfo,207,WALL_BRICK_WHITE,32,32,0,0,512,192,544,224
tileinfo,208,WALL_BRICK_WHITE_1,32,32,0,0,544,192,576,224
tileinfo,209,WALL_BRICK_WHITE_2,32,32,0,0,576,192,608,224
tileinfo,210,WALL_BRICK_WHITE_3,32,32,0,0,608,192,640,224
tileinfo,211,WALL_BRICK_WHITE_4,32,32,0,0,640,192,672,224
tileinfo,212,WALL_BRICK_WHITE_5,32,32,0,0,672,192,704,224
tileinfo,213,WALL_BRICK_WHITE_6,32,32,0,0,704,192,736,224
tileinfo,214,WALL_BRICK_WHITE_7,32,32,0,0,736,192,768,224
tileinfo,215,WALL_BRICK_VINES,32,32,0,0,768,192,800,224
tileinfo,216,WALL_BRICK_VINES_1,32,32,0,0,800,192,832,224
tileinfo,217,WALL_BRICK_VINES_2,32,32,0,0,832,192,864,224
tileinfo,218,WALL_BRICK_VINES_3,32,32,0,0,864,192,896,224
tileinfo,219,WALL_HALL,32,32,0,0,896,192,928,224
tileinfo,220,WALL_HALL_1,32,32,0,0,928,192,960,224
tileinfo,221,WALL_HALL_2,32,32,0,0,960,192,992,224
tileinfo,222,WALL_HALL_3,32,32,0,0,992,192,1024,224
tileinfo,223,WALL_HALL_WHITE,32,32,0,0,0,224,32,256
tileinfo,224,WALL_HALL_WHITE_1,32,32,0,0,32,224,64,256
tileinfo,225,WALL_HALL_WHITE_2,32,32,0,0,64,224,96,256
tileinfo,226,WALL_HALL_WHITE_3,32,32,0,0,96,224,128,256
tileinfo,227,WALL_HALL_DARKGRAY,32,32,0,0,128,224,160,256
tileinfo,228,WALL_HALL_DARKGRAY_1,32,32,0,0,160,224,192,256
tileinfo,229,WALL_HALL_DARKGRAY_2,32,32,0,0,192,224,224,256
tileinfo,230,WALL_HALL_DARKGRAY_3,32,32,0,0,224,224,256,256
tileinfo,231,WALL_HALL_BLUE,32,32,0,0,256,224,288,256
tileinfo,232,WALL_HALL_BLUE_1,32,32,0,0,288,224,320,256
tileinfo,233,WALL_HALL_BLUE_2,32,32,0,0,320,224,352,256
tileinfo,234,WALL_HALL_BLUE_3,32,32,0,0,352,224,384,256
tileinfo,235,WALL_HALL_GREEN,32,32,0,0,384,224,416,256
tileinfo,236,WALL_HALL_GREEN_1,32,32,0,0,416,224,448,256
tileinfo,237,WALL_HALL_GREEN_2,32,32,0,0,448,224,480,256
tileinfo,238,WALL_HALL_GREEN_3,32,32,0,0,480,224,512,256
tileinfo,239,WALL_HALL_CYAN,32,32,0,0,512,224,544,256
tileinfo,240,WALL_HALL_CYAN_1,32,32,0,0,544,224,576,256
tileinfo,241,WALL_HALL_CYAN_2,32,32,0,0,576,224,608,256
tileinfo,242,WALL_HALL_CYAN_3,32,32,0,0,608,224,640,256
tileinfo,243,WALL_HALL_RED,32,32,0,0,640,224,672,256
tileinfo,244,WALL_HALL_RED_1,32,32,0,0,672,224,704,256
tileinfo,245,WALL_HALL_RED_2,32,32,0,0,704,224,736,256
tileinfo,246,WALL_HALL_RED_3,32,32,0,0,736,224,768,256
tileinfo,247,WALL_HALL_MAGENTA,32,32,0,0,768,224,800,256
tileinfo,248,WALL_HALL_MAGENTA_1,32,32,0,0,800,224,832,256
tileinfo,249,WALL_HALL_MAGENTA_2,32,32,0,0,832,224,864,256
tileinfo,250,WALL_HALL_MAGENTA_3,32,32,0,0,864,224,896,256
tileinfo,251,WALL_HALL_BROWN,32,32,0,0,896,224,928,256
tileinfo,252,WALL_HALL_BROWN_1,32,32,0,0,928,224,960,256
tileinfo,253,WALL_HALL_BROWN_2,32,32,0,0,960,224,992,256
tileinfo,254,WALL_HALL_BROWN_3,32,32,0,0,992,224,1024,256
tileinfo,255,WALL_HALL_YELLOW,32,32,0,0,0,256,32,288
tileinfo,256,WALL_HALL_YELLOW_1,32,32,0,0,32,256,64,288
tileinfo,257,WALL_HALL_YELLOW_2,32,32,0,0,64,256,96,288
tileinfo,258,WALL_HALL_YELLOW_3,32,32,0,0,96,256,128,288
tileinfo,259,WALL_HALL_LIGHTBLUE,32,32,0,0,128,256,160,288
tileinfo,260,WALL_HALL_LIGHTBLUE_1,32,32,0,0,160,256,192,288
tileinfo,261,WALL_HALL_LIGHTBLUE_2,32,32,0,0,192,256,224,288
tileinfo,262,WALL_HALL_LIGHTBLUE_3,32,32,0,0,224,256,256,288
tileinfo,263,WALL_HALL_LIGHTGREEN,32,32,0,0,256,256,288,288
tileinfo,264,WALL_HALL_LIGHTGREEN_1,32,32,0,0,288,256,320,288
tileinfo,265,WALL_HALL_LIGHTGREEN_2,32,32,0,0,320,256,352,288
tileinfo,266,WALL_HALL_LIGHTGREEN_3,32,32,0,0,352,256,384,288
tileinfo,267,WALL_HALL_LIGHTCYAN,32,32,0,0,384,256,416,288
tileinfo,268,WALL_HALL_LIGHTCYAN_1,32,32,0,0,416,256,448,288
tileinfo,269,WALL_HALL_LIGHTCYAN_2,32,32,0,0,448,256,480,288
tileinfo,270,WALL_HALL_LIGHTCYAN_3,32,32,0,0,480,256,512,288
tileinfo,271,WALL_HALL_LIGHTRED,32,32,0,0,512,256,544,288
tileinfo,272,WALL_HALL_LIGHTRED_1,32,32,0,0,544,256,576,288
tileinfo,273,WALL_HALL_LIGHTRED_2,32,32,0,0,576,256,608,288
tileinfo,274,WALL_HALL_LIGHTRED_3,32,32,0,0,608,256,640,288
tileinfo,275,WALL_HALL_LIGHTMAGENTA,32,32,0,0,640,256,672,288
tileinfo,276,WALL_HALL_LIGHTMAGENTA_1,32,32,0,0,672,256,704,288
tileinfo,277,WALL_HALL_LIGHTMAGENTA_2,32,32,0,0,704,256,736,288
tileinfo,278,WALL_HALL_LIGHTMAGENTA_3,32,32,0,0,736,256,768,288
tileinfo,279,WALL_WAX,32,32,0,0,768,256,800,288
tileinfo,280,WALL_WAX_1,32,32,0,0,800,256,832,288
tileinfo,281,WALL_WAX_2,32,32,0,0,832,256,864,288
tileinfo,282,WALL_WAX_3,32,32,0,0,864,256,896,288
tileinfo,283,WALL_WAX_4,32,32,0,0,896,256,928,288
tileinfo,284,WALL_WAX_5,32,32,0,0,928,256,960,288
tileinfo,285,WALL_WAX_6,32,32,0,0,960,256,992,288
tileinfo,286,WALL_WAX_7,32,32,0,0,992,256,1024,288
tileinfo,287,WALL_WAX_8,32,32,0,0,0,288,32,320
tileinfo,288,WALL_WAX_9,32,32,0,0,32,288,64,320
tileinfo,289,WALL_LAIR,32,32,0,0,64,288,96,320
tileinfo,290,WALL_LAIR_1,32,32,0,0,96,288,128,320
tileinfo,291,WALL_LAIR_2,32,32,0,0,128,288,160,320
tileinfo,292,WALL_LAIR_3,32,32,0,0,160,288,192,320
tileinfo,293,WALL_ORC,32,32,0,0,192,288,224,320
tileinfo,294,WALL_ORC_1,32,32,0,0,224,288,256,320
tileinfo,295,WALL_ORC_2,32,32,0,0,256,288,288,320
tileinfo,296,WALL_ORC_3,32,32,0,0,288,288,320,320
tileinfo,297,WALL_ORC_4,32,32,0,0,320,288,352,320
tileinfo,298,WALL_ORC_5,32,32,0,0,352,288,384,320
tileinfo,299,WALL_ORC_6,32,32,0,0,384,288,416,320
tileinfo,300,WALL_ORC_7,32,32,0,0,416,288,448,320
tileinfo,301,WALL_ORC_8,32,32,0,0,448,288,480,320
tileinfo,302,WALL_ORC_9,32,32,0,0,480,288,512,320
tileinfo,303,WALL_ORC_10,32,32,0,0,512,288,544,320
tileinfo,304,WALL_ORC_11,32,32,0,0,544,288,576,320
tileinfo,305,WALL_SLIME,32,32,0,0,576,288,608,320
tileinfo,306,WALL_SLIME_1,32,32,0,0,608,288,640,320
tileinfo,307,WALL_SLIME_2,32,32,0,0,640,288,672,320
tileinfo,308,WALL_SLIME_3,32,32,0,0,672,288,704,320
tileinfo,309,WALL_SLIME_4,32,32,0,0,704,288,736,320
tileinfo,310,WALL_SLIME_5,32,32,0,0,736,288,768,320
tileinfo,311,WALL_SLIME_6,32,32,0,0,768,288,800,320
tileinfo,312,WALL_SLIME_7,32,32,0,0,800,288,832,320
tileinfo,313,STONE_WALL_SLIME,32,32,0,0,832,288,864,320
tileinfo,314,STONE_WALL_SLIME_1,32,32,0,0,864,288,896,320
tileinfo,315,STONE_WALL_SLIME_2,32,32,0,0,896,288,928,320
tileinfo,316,STONE_WALL_SLIME_3,32,32,0,0,928,288,960,320
tileinfo,317,ROCK_WALL_CRYPT,32,32,0,0,960,288,992,320
tileinfo,318,ROCK_WALL_CRYPT_1,32,32,0,0,992,288,1024,320
tileinfo,319,ROCK_WALL_CRYPT_2,32,32,0,0,0,320,32,352
tileinfo,320,ROCK_WALL_CRYPT_3,32,32,0,0,32,320,64,352
tileinfo,321,WALL_TOMB,32,32,0,0,64,320,96,352
tileinfo,322,WALL_TOMB_1,32,32,0,0,96,320,128,352
tileinfo,323,WALL_TOMB_2,32,32,0,0,128,320,160,352
tileinfo,324,WALL_TOMB_3,32,32,0,0,160,320,192,352
tileinfo,325,WALL_VAULT,32,32,0,0,192,320,224,352
tileinfo,326,WALL_VAULT_1,32,32,0,0,224,320,256,352
tileinfo,327,WALL_VAULT_2,32,32,0,0,256,320,288,352
tileinfo,328,WALL_VAULT_3,32,32,0,0,288,320,320,352
tileinfo,329,STONE_WALL_VAULT,32,32,0,0,320,320,352,352
tileinfo,330,STONE_WALL_VAULT_1,32,32,0,0,352,320,384,352
tileinfo,331,STONE_WALL_VAULT_2,32,32,0,0,384,320,416,352
tileinfo,332,STONE_WALL_VAULT_3,32,32,0,0,416,320,448,352
tileinfo,333,STONE_WALL_VAULT_4,32,32,0,0,448,320,480,352
tileinfo,334,STONE_WALL_VAULT_5,32,32,0,0,480,320,512,352
tileinfo,335,STONE_WALL_VAULT_6,32,32,0,0,512,320,544,352
tileinfo,336,STONE_WALL_VAULT_7,32,32,0,0,544,320,576,352
tileinfo,337,STONE_WALL_VAULT_8,32,32,0,0,576,320,608,352
tileinfo,338,STONE_WALL_VAULT_9,32,32,0,0,608,320,640,352
tileinfo,339,STONE_WALL_VAULT_10,32,32,0,0,640,320,672,352
tileinfo,340,STONE_WALL_VAULT_11,32,32,0,0,672,320,704,352
tileinfo,341,STONE_WALL_VAULT_12,32,32,0,0,704,320,736,352
tileinfo,342,STONE_WALL_VAULT_13,32,32,0,0,736,320,768,352
tileinfo,343,STONE_WALL_VAULT_14,32,32,0,0,768,320,800,352
tileinfo,344,STONE_WALL_VAULT_15,32,32,0,0,800,320,832,352
